spectrum_/vin X,spectrum_/vin Y
0,0.5774415140746231
39062.5,-73.10024479083229
78125,-73.37240263379236
117187.5,-73.10034367801289
156250,-73.25462281857503
195312.5,-73.10054140733709
234375,-72.96087364563202
273437.5,-73.10083797176877
312500,-73.2108704005382
351562.5,-73.1012333828391
390625,-72.55117894374595
429687.5,-73.10172755802141
468750,-72.96652079792473
507812.5,-73.10232046684126
546875,-73.00469720288149
585937.5,-73.10301207812506
625000,-73.07524516063863
664062.5,-73.10380232754082
703125,-72.26818220099042
742187.5,-73.10469113185222
781250,-72.98726517933568
820312.5,-73.10567839693775
859375,-72.86159782170616
898437.5,-73.10676408045957
937500,-73.43743165719042
976562.5,-73.10794805790589
1015625,-73.14531579857993
1054687.5,-73.10923021088851
1093750,-72.80718081589615
1132812.5,-73.11061046837015
1171875,-73.44427381965434
1210937.5,-73.11208869366189
1250000,-78.32989966001534
1289062.5,-73.11366474174478
1328125,-72.86107904860864
1367187.5,-73.11533847081623
1406250,-72.85501233040904
1445312.5,-73.11710975164624
1484375,-73.00187957344033
1523437.5,-73.11897843536046
1562500,-72.771985930244
1601562.5,-73.12094430832671
1640625,-73.12061669511459
1679687.5,-73.12300725830396
1718750,-73.25055988274148
1757812.5,-73.12516707239385
1796875,-64.58498863990347
1835937.5,-73.12742355306504
1875000,-73.10990579987634
1914062.5,-73.12977650159569
1953125,-72.97074825930386
1992187.5,-73.13222571684113
2031250,-73.43966541772227
2070312.5,-73.13477097798574
2109375,-73.54422682657146
2148437.5,-73.13741204213791
2187500,-73.29031009546077
2226562.5,-73.14014870123685
2265625,-73.25073636051667
2304687.5,-73.14298069415625
2343750,-72.09354969667532
2382812.5,-73.14590775695652
2421875,-72.65929602318786
2460937.5,-73.14892963195037
2500000,-72.8561030836281
2539062.5,-73.15204605174799
2578125,-73.37364295994854
2617187.5,-73.1552567288407
2656250,-73.31357404152324
2695312.5,-73.15856136734095
2734375,-73.55389648083975
2773437.5,-73.16195968439536
2812500,-72.88233272096878
2851562.5,-73.16545135073494
2890625,-73.42352627552488
2929687.5,-73.16903605802102
2968750,-73.05532927421277
3007812.5,-73.17271346083122
3046875,-56.52636308874364
3085937.5,-73.17648324468912
3125000,-73.58280360996554
3164062.5,-73.18034504010437
3203125,-74.42151069891972
3242187.5,-73.18429850080337
3281250,-73.01142504233817
3320312.5,-73.18834327846886
3359375,-73.04000056825107
3398437.5,-73.19247896145708
3437500,-72.91856119623412
3476562.5,-73.1967051835054
3515625,-72.86896357752045
3554687.5,-73.20102155116179
3593750,-75.5142077318233
3632812.5,-73.20542764830404
3671875,-73.22310035213673
3710937.5,-73.20992306661512
3750000,-73.68369149291462
3789062.5,-73.21450737867197
3828125,-73.13123396818709
3867187.5,-73.21918017415848
3906250,-73.33998299523608
3945312.5,-73.22394097716509
3984375,-73.58808589163942
4023437.5,-73.22878933645779
4062500,-73.28264896907289
4101562.5,-73.23372480689409
4140625,-73.78473790962659
4179687.5,-73.23874690146823
4218750,-73.23013036917108
4257812.5,-73.2438551269717
4296875,-75.67566988239375
4335937.5,-73.24904901532187
4375000,-72.82337478822969
4414062.5,-73.25432805563861
4453125,-72.88173706696911
4492187.5,-73.25969172275406
4531250,-73.21177402138414
4570312.5,-73.26513947807496
4609375,-73.21175721861937
4648437.5,-73.27067082415157
4687500,-73.94170948668216
4726562.5,-73.27628519654525
4765625,-73.39369343656014
4804687.5,-73.28198202128419
4843750,-50.0437753648475
4882812.5,-73.28776076638945
4921875,-73.30169045232023
4960937.5,-73.29362085359134
5000000,-72.75149577004473
5039062.5,-73.29956166711139
5078125,-73.26732503184272
5117187.5,-73.30558261103333
5156250,-73.84082120390838
5195312.5,-73.31168311753721
5234375,-73.05968066585851
5273437.5,-73.3178625318594
5312500,-73.57204649720754
5351562.5,-73.32412022070672
5390625,-72.85693434922864
5429687.5,-73.33045557602739
5468750,-73.06143011929424
5507812.5,-73.33686793325695
5546875,-71.84361393028982
5585937.5,-73.34335662357017
5625000,-73.06370794247158
5664062.5,-73.34992095761417
5703125,-73.03101264085159
5742187.5,-73.35656028748834
5781250,-73.45080685974904
5820312.5,-73.36327391097518
5859375,-73.64577099562815
5898437.5,-73.37006108307322
5937500,-73.33137799016404
5976562.5,-73.37692114155543
6015625,-73.70188033279628
6054687.5,-73.38385333973144
6093750,-76.62517793475799
6132812.5,-73.39085692576552
6171875,-73.43858411708196
6210937.5,-73.39793114245724
6250000,-73.30720943491733
6289062.5,-73.40507524922485
6328125,-73.02755679186694
6367187.5,-73.41228848786704
6406250,-73.35828107923217
6445312.5,-73.41957001170739
6484375,-72.68891643286742
6523437.5,-73.42691909709608
6562500,-73.38431671776031
6601562.5,-73.43433490449564
6640625,-72.34209913947542
6679687.5,-73.44181660692882
6718750,-73.64953300599403
6757812.5,-73.44936337522594
6796875,-72.65317927244067
6835937.5,-73.45697438359284
6875000,-73.7025433695099
6914062.5,-73.464648777031
6953125,-73.69830592770785
6992187.5,-73.47238566776224
7031250,-73.55556951027421
7070312.5,-73.48018420641746
7109375,-73.5776172634735
7148437.5,-73.48804350799816
7187500,-72.52249312178438
7226562.5,-73.49596263668663
7265625,-73.48217244524048
7304687.5,-73.50394069787752
7343750,-73.72284716756548
7382812.5,-73.5119767767607
7421875,-73.64596683421523
7460937.5,-73.52006993857664
7500000,-73.48631285637214
7539062.5,-73.52821922049796
7578125,-73.57121351422839
7617187.5,-73.53642367923344
7656250,-72.9133246575537
7695312.5,-73.54468234258351
7734375,-73.63912313053605
7773437.5,-73.55299421947792
7812500,-73.51683514702285
7851562.5,-73.5613582982227
7890625,-50.51773311161298
7929687.5,-73.56977361566797
7968750,-74.05149594757691
8007812.5,-73.57823911497019
8046875,-74.45209999412127
8085937.5,-73.58675377992603
8125000,-73.69380382680056
8164062.5,-73.59531657298579
8203125,-73.38618371121265
8242187.5,-73.60392643589803
8281250,-73.28169639066421
8320312.5,-73.61258228522296
8359375,-73.50282602284587
8398437.5,-73.62128306181086
8437500,-72.90328822180415
8476562.5,-73.63002766808754
8515625,-73.53307764326556
8554687.5,-73.63881500817088
8593750,-74.10041544740595
8632812.5,-73.64764395809222
8671875,-73.6062587055022
8710937.5,-73.6565134031564
8750000,-73.34833052681626
8789062.5,-73.66542220229591
8828125,-74.26868921060429
8867187.5,-73.67436919119638
8906250,-73.61708060828475
8945312.5,-73.6833532152161
8984375,-74.22230427033867
9023437.5,-73.692373111878
9062500,-73.76750983755755
9101562.5,-73.70142767925999
9140625,-76.87359677988491
9179687.5,-73.71051573541666
9218750,-73.4441220901569
9257812.5,-73.71963606795667
9296875,-73.78628317275978
9335937.5,-73.72878745204308
9375000,-73.8984842961477
9414062.5,-73.7379686419419
9453125,-73.68692868561746
