((VT("/o1") + VT("/o2") + VT("/o3") + VT("/o4") + VT("/o5") + VT("/o6") + VT("/o7") + VT("/o8") + VT("/o9") + VT("/o10") + VT("/o11") + VT("/o12") + VT("/o13") + VT("/o14") + VT("/o15")) / (1.8 * 15)) X,((VT("/o1") + VT("/o2") + VT("/o3") + VT("/o4") + VT("/o5") + VT("/o6") + VT("/o7") + VT("/o8") + VT("/o9") + VT("/o10") + VT("/o11") + VT("/o12") + VT("/o13") + VT("/o14") + VT("/o15")) / (1.8 * 15)) Y,v /vin; tran (V) X,v /vin; tran (V) Y,v /vinput; tran (V) X,v /vinput; tran (V) Y
0,0.4837584966376469,0,0.413038234509879,0,0.4
2.5e-12,0.4838333400652569,2.5e-12,0.413398373490045,2.5e-12,0.4000014
3.889536508459495e-12,0.4838635604311491,3.889536508459495e-12,0.4135404793089268,3.889536508459495e-12,0.4000021781404448
6.668609525378485e-12,0.483908804354893,6.668609525378485e-12,0.4136388538190812,6.668609525378485e-12,0.4000037344213342
8.334304762689242e-12,0.4839181463749512,8.334304762689242e-12,0.4135410778950016,8.334304762689242e-12,0.4000046672106671
9.999999999999999e-12,0.4838809661907597,9.999999999999999e-12,0.4132028054163452,9.999999999999999e-12,0.4000056
1.036974815973898e-11,0.4838679572257626,1.036974815973898e-11,0.4130792597382998,1.036974815973898e-11,0.4000058070589695
1.094844874878501e-11,0.4838486408468117,1.094844874878501e-11,0.4128882557992971,1.094844874878501e-11,0.4000061311312993
1.146381816409492e-11,0.4838331292398442,1.146381816409492e-11,0.4127212824341639,1.146381816409492e-11,0.4000064197381719
1.249455699471474e-11,0.4838062959585503,1.249455699471474e-11,0.4123964001909824,1.249455699471474e-11,0.400006996951917
1.455603465595438e-11,0.4837663141973788,1.455603465595438e-11,0.4117893973171088,1.455603465595438e-11,0.4000081513794074
1.799948575996671e-11,0.4837281629630407,1.799948575996671e-11,0.4109798754407778,1.799948575996671e-11,0.4000100797120256
