spectrum_v /vinput; tran (V) X,spectrum_v /vinput; tran (V) Y
12851562.5,-71.9389897789338
12890625,-71.93898977894699
12929687.5,-71.93898977895903
12968750,-71.93898977895603
13007812.5,-71.93898977892103
13046875,-71.93898977896853
13085937.5,-71.93898977895893
13125000,-71.93898977894949
13164062.5,-71.9389897789225
13203125,-71.93898977893228
13242187.5,-71.93898977895111
13281250,-71.93898977892498
13320312.5,-71.93898977895442
13359375,-71.93898977894254
13398437.5,-71.93898977893738
13437500,-71.93898977896333
13476562.5,-71.93898977895564
13515625,-71.93898977894133
13554687.5,-71.93898977897652
13593750,-71.93898977895847
13632812.5,-71.93898977897821
13671875,-71.93898977897601
13710937.5,-71.93898977895338
13750000,-71.93898977896315
13789062.5,-71.9389897789605
13828125,-71.93898977896215
13867187.5,-71.93898977896848
13906250,-71.93898977896977
13945312.5,-71.93898977897747
13984375,-71.93898977900898
14023437.5,-71.93898977893579
14062500,-71.93898977899198
14101562.5,-71.9389897790455
14140625,-71.93898977907267
14179687.5,-71.9389897790016
14218750,-71.93898977902558
14257812.5,-71.9389897790323
14296875,-71.93898977904277
14335937.5,-71.93898977903203
14375000,-71.93898977902062
14414062.5,-71.93898977901522
14453125,-71.93898977900463
14492187.5,-71.93898977904517
14531250,-71.93898977907568
14570312.5,-71.93898977907759
14609375,-71.93898977908088
14648437.5,-71.93898977900461
14687500,-71.93898977908736
14726562.5,-71.93898977911405
14765625,-71.9389897790378
14804687.5,-71.9389897790912
14843750,-71.93898977898753
14882812.5,-71.93898977923925
14921875,-71.93898977938142
14960937.5,-71.93898977911222
15000000,-71.93898977914036
15039062.5,-71.9389897791428
15078125,-71.93898977910345
15117187.5,-71.93898977914046
15156250,-71.93898977919908
15195312.5,-71.93898977921378
15234375,-71.93898977917159
15273437.5,-71.93898977921508
15312500,-71.93898977920639
15351562.5,-71.93898977910835
15390625,-71.9389897791993
15429687.5,-71.93898977920531
15468750,-71.93898977921897
15507812.5,-71.93898977918896
15546875,-71.93898977923182
15585937.5,-71.93898977923594
15625000,-71.93898977923669
15664062.5,-71.93898977923814
15703125,-71.93898977925039
15742187.5,-71.9389897793167
15781250,-71.9389897793293
15820312.5,-71.9389897793518
15859375,-71.93898977936321
15898437.5,-71.93898977933284
15937500,-71.93898977935271
15976562.5,-71.93898977940029
16015625,-71.93898977940962
16054687.5,-71.93898977943289
16093750,-71.93898977947306
16132812.5,-71.93898977944676
16171875,-71.93898977948264
16210937.5,-71.93898977956684
16250000,-71.93898977953843
16289062.5,-71.93898977960056
16328125,-71.93898977966627
16367187.5,-71.93898977963063
16406250,-71.93898977962603
16445312.5,-71.93898977971008
16484375,-71.93898977977567
16523437.5,-71.93898977975516
16562500,-71.93898977983571
16601562.5,-71.93898977993042
16640625,-71.93898977989734
16679687.5,-71.93898977994432
16718750,-71.93898978014596
16757812.5,-71.93898978022453
16796875,-71.93898978015734
16835937.5,-71.93898978035541
16875000,-71.93898978049256
16914062.5,-71.93898978039746
16953125,-71.93898978051799
16992187.5,-71.9389897808669
17031250,-71.93898978087655
17070312.5,-71.93898978090232
17109375,-71.93898978144978
17148437.5,-71.9389897818145
17187500,-71.93898978169587
17226562.5,-71.93898978231832
17265625,-71.93898978325217
17304687.5,-71.93898978358091
17343750,-71.93898978456394
17382812.5,-71.93898978715376
17421875,-71.93898978768004
17460937.5,-71.93898978720027
17500000,-71.93898979996403
17539062.5,-71.93898984431372
17578125,-10.19296621459983
17617187.5,-71.93898976529428
17656250,-71.93898977203959
17695312.5,-71.93898976697056
17734375,-71.93898976956191
17773437.5,-71.93898977349195
17812500,-71.93898977408161
17851562.5,-71.93898977411789
17890625,-71.93898977517782
17929687.5,-71.93898977539781
