spectrum_((VT("/o1") + VT("/o2") + VT("/o3") + VT("/o4") + VT("/o5") + VT("/o6") + VT("/o7") + VT("/o8") + VT("/o9") + VT("/o10") + VT("/o11") + VT("/o12") + VT("/o13") + VT("/o14") + VT("/o15")) / (1.8 * 15)) X,spectrum_((VT("/o1") + VT("/o2") + VT("/o3") + VT("/o4") + VT("/o5") + VT("/o6") + VT("/o7") + VT("/o8") + VT("/o9") + VT("/o10") + VT("/o11") + VT("/o12") + VT("/o13") + VT("/o14") + VT("/o15")) / (1.8 * 15)) Y
13359375,-70.74711521858332
13398437.5,-82.42786962568127
13437500,-61.30218109433048
13476562.5,-82.46360560506675
13515625,-61.35780127264238
13554687.5,-82.49936923258051
13593750,-64.14897238346936
13632812.5,-82.53515329142039
13671875,-62.23221203977659
13710937.5,-82.57095037734362
13750000,-63.81735185685044
13789062.5,-82.60675289606952
13828125,-47.99345087849481
13867187.5,-82.64255306140483
13906250,-62.77739023154204
13945312.5,-82.67834289294284
13984375,-61.32567460970848
14023437.5,-82.71411421433982
14062500,-77.15497671344127
14101562.5,-82.74985865154385
14140625,-54.84898531821132
14179687.5,-82.78556763125023
14218750,-65.64604896731007
14257812.5,-82.82123237945049
14296875,-63.48007314014296
14335937.5,-82.8568439204799
14375000,-61.40793640210311
14414062.5,-82.89239307582986
14453125,-71.17991855254432
14492187.5,-82.92787046372383
14531250,-52.7964468718522
14570312.5,-82.96326649838545
14609375,-60.45317843089094
14648437.5,-82.9985713900605
14687500,-62.40647315986233
14726562.5,-83.03377514510345
14765625,-68.96662109235072
14804687.5,-83.06886756621293
14843750,-65.79038972208487
14882812.5,-83.10383825343752
14921875,-60.8976587784769
14960937.5,-83.13867660492882
15000000,-61.44745205519031
15039062.5,-83.17337181860617
15078125,-55.62983126439483
15117187.5,-83.20791289381454
15156250,-77.13293957130819
15195312.5,-83.24228863351856
15234375,-57.47602140072529
15273437.5,-83.27648764689076
15312500,-70.77642516337653
15351562.5,-83.31049835235427
15390625,-60.22930737158924
15429687.5,-83.34430898094269
15468750,-71.69596647732619
15507812.5,-83.37790758036242
15546875,-64.39721496141243
15585937.5,-83.41128201918737
15625000,-57.65658112363687
15664062.5,-83.44441999192085
15703125,-62.89164339562596
15742187.5,-83.47730902427148
15781250,-65.15227834556845
15820312.5,-83.50993647905356
15859375,-62.01904426564621
15898437.5,-83.5422895628443
15937500,-64.06954538451642
15976562.5,-83.57435533261408
16015625,-73.76669760756801
16054687.5,-83.60612070371415
16093750,-61.47391998438308
16132812.5,-83.63757245769661
16171875,-60.41261481794821
16210937.5,-83.66869725121688
16250000,-79.70659094098151
16289062.5,-83.6994816253702
16328125,-58.19027627735586
16367187.5,-83.72991201538622
16406250,-75.06074685483708
16445312.5,-83.75997476154336
16484375,-49.7183704844697
16523437.5,-83.78965611996371
16562500,-73.4825944236301
16601562.5,-83.81894227445716
16640625,-62.44229449078438
