(VT("/vin") - 0.6) X,(VT("/vin") - 0.6) Y,((VT("/o1") + VT("/o2") + VT("/o3") + VT("/o4") + VT("/o5") + VT("/o6") + VT("/o7") + VT("/o8") + VT("/o9") + VT("/o10") + VT("/o11") + VT("/o12") + VT("/o13") + VT("/o14") + VT("/o15")) / (1.8 * 15)) X,((VT("/o1") + VT("/o2") + VT("/o3") + VT("/o4") + VT("/o5") + VT("/o6") + VT("/o7") + VT("/o8") + VT("/o9") + VT("/o10") + VT("/o11") + VT("/o12") + VT("/o13") + VT("/o14") + VT("/o15")) / (1.8 * 15)) Y,/vin X,/vin Y
0,-0.2,0,0.4837584966376469,0,0.4
2.5e-12,-0.1999986,2.5e-12,0.4838333378925946,2.5e-12,0.4000014
3.89003081252967e-12,-0.1999978215827449,3.89003081252967e-12,0.4838635653558271,3.89003081252967e-12,0.400002178417255
6.670092437589012e-12,-0.1999962647482349,6.670092437589012e-12,0.4839088192281263,6.670092437589012e-12,0.4000037352517651
8.335046218794505e-12,-0.1999953323741174,8.335046218794505e-12,0.4839181314958924,8.335046218794505e-12,0.4000046676258825
9.999999999999999e-12,-0.1999944,9.999999999999999e-12,0.4838809688547347,9.999999999999999e-12,0.4000056
1.036969363428665e-11,-0.1999941929715647,1.036969363428665e-11,0.4838679628533964,1.036969363428665e-11,0.4000058070284352
1.094823736692207e-11,-0.1999938689870745,1.094823736692207e-11,0.4838486529687923,1.094823736692207e-11,0.4000061310129255
1.146347583734903e-11,-0.1999935804535311,1.146347583734903e-11,0.4838331458505836,1.146347583734903e-11,0.4000064195464689
1.249395277820293e-11,-0.1999930033864442,1.249395277820293e-11,0.4838063192395747,1.249395277820293e-11,0.4000069966135558
1.455490665991074e-11,-0.1999918492522704,1.455490665991074e-11,0.4837663439693631,1.455490665991074e-11,0.4000081507477296
1.801355181329383e-11,-0.1999899124109845,1.801355181329383e-11,0.4837280659792648,1.801355181329383e-11,0.4000100875890155
2.08711268292368e-11,-0.1999883121689756,2.08711268292368e-11,0.4837143135285138,2.08711268292368e-11,0.4000116878310244
2.484469385882497e-11,-0.199986086971439,2.484469385882497e-11,0.4837089097303827,2.484469385882497e-11,0.400013913028561
2.951280108463986e-11,-0.1999834728313926,2.951280108463986e-11,0.4837129478144182,2.951280108463986e-11,0.4000165271686074
3.435546528202172e-11,-0.199980760939442,3.435546528202172e-11,0.4837218631106828,3.435546528202172e-11,0.400019239060558
3.914302578242158e-11,-0.1999780799055618,3.914302578242158e-11,0.4837308763666251,3.914302578242158e-11,0.4000219200944382
4.390528545449001e-11,-0.1999754130401454,4.390528545449001e-11,0.4837308226999752,4.390528545449001e-11,0.4000245869598545
4.815803805808235e-11,-0.1999730314986874,4.815803805808235e-11,0.4837179778710564,4.815803805808235e-11,0.4000269685013125
5.309717008007479e-11,-0.1999702655847551,5.309717008007479e-11,0.4836897894278187,5.309717008007479e-11,0.4000297344152449
5.859957484496619e-11,-0.1999671842380868,5.859957484496619e-11,0.4836492319367097,5.859957484496619e-11,0.4000328157619132
6.519823613184983e-11,-0.1999634889877661,6.519823613184983e-11,0.4835949962745608,6.519823613184983e-11,0.4000365110122339
7.105295500577629e-11,-0.1999602103451967,7.105295500577629e-11,0.4835424074360972,7.105295500577629e-11,0.4000397896548032
7.781871553600777e-11,-0.1999564215192998,7.781871553600777e-11,0.4834719610334925,7.781871553600777e-11,0.4000435784807002
8.564767458801698e-11,-0.1999520373022307,8.564767458801698e-11,0.483371192781258,8.564767458801698e-11,0.4000479626977693
9.548147114274594e-11,-0.19994653037616,9.548147114274594e-11,0.4832388931315234,9.548147114274594e-11,0.40005346962384
1.05120909372284e-10,-0.1999411322907515,1.05120909372284e-10,0.4831461130156182,1.05120909372284e-10,0.4000588677092485
1.154498319799665e-10,-0.1999353480940912,1.154498319799665e-10,0.4831509055327271,1.154498319799665e-10,0.4000646519059088
1.271927320798844e-10,-0.1999287720700352,1.271927320798844e-10,0.483484989361763,1.271927320798844e-10,0.4000712279299647
1.397121960134403e-10,-0.1999217611702324,1.397121960134403e-10,0.4848759991630157,1.397121960134403e-10,0.4000782388297676
1.497081941907379e-10,-0.1999161634112531,1.497081941907379e-10,0.4871346109728442,1.497081941907379e-10,0.4000838365887469
1.598262205751774e-10,-0.1999104973164779,1.598262205751774e-10,0.4845373408906252,1.598262205751774e-10,0.4000895026835221
1.678493524137088e-10,-0.1999060043626483,1.678493524137088e-10,0.4683757427869362,1.678493524137088e-10,0.4000939956373517
1.745278025056901e-10,-0.1999022644305968,1.745278025056901e-10,0.4373131990371987,1.745278025056901e-10,0.4000977355694032
1.809319686462673e-10,-0.1998986780975581,1.809319686462673e-10,0.3915018903151015,1.809319686462673e-10,0.4001013219024419
1.846592942434834e-10,-0.1998965907952236,1.846592942434834e-10,0.3624186824185639,1.846592942434834e-10,0.4001034092047764
1.884675862477489e-10,-0.1998944581517012,1.884675862477489e-10,0.3351804383221382,1.884675862477489e-10,0.4001055418482988
1.91906547794405e-10,-0.1998925323332351,1.91906547794405e-10,0.313712846280329,1.91906547794405e-10,0.4001074676667649
1.951995821224902e-10,-0.1998906882340113,1.951995821224902e-10,0.2961146276832827,1.951995821224902e-10,0.4001093117659886
1.987587113732023e-10,-0.199888695121631,1.987587113732023e-10,0.2799068576040113,1.987587113732023e-10,0.400111304878369
2.022680952424383e-10,-0.1998867298666642,2.022680952424383e-10,0.2661353035459326,2.022680952424383e-10,0.4001132701333358
2.059455095146548e-10,-0.1998846705146717,2.059455095146548e-10,0.2537097550553219,2.059455095146548e-10,0.4001153294853282
2.094183032469121e-10,-0.1998827257501817,2.094183032469121e-10,0.2429891651953376,2.094183032469121e-10,0.4001172742498183
2.12736242169339e-10,-0.1998808677043851,2.12736242169339e-10,0.2336793940256477,2.12736242169339e-10,0.4001191322956149
2.163060919211391e-10,-0.1998788685885241,2.163060919211391e-10,0.2249297790272603,2.163060919211391e-10,0.4001211314114759
2.198539381759533e-10,-0.1998768817946214,2.198539381759533e-10,0.2168645061760667,2.198539381759533e-10,0.4001231182053785
2.252160909561702e-10,-0.1998738789890645,2.252160909561702e-10,0.2048326240801221,2.252160909561702e-10,0.4001261210109355
2.287679232515095e-10,-0.1998718899629791,2.287679232515095e-10,0.1977291159680364,2.287679232515095e-10,0.4001281100370209
2.323788174261254e-10,-0.1998698678622413,2.323788174261254e-10,0.191310516666639,2.323788174261254e-10,0.4001301321377587
